pinCode,stateId,stateName,districtId,districtName,cityId,cityName,countryName,status,createdDate,updatedDate
3400022,0034,JAMMU AND KASHMIR,4,Baramulla,0002,Kupwara,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400023,0034,JAMMU AND KASHMIR,4,Baramulla,0002,Kupwara,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400024,0034,JAMMU AND KASHMIR,5,Udhampur,0001,Udhampur,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400025,0034,JAMMU AND KASHMIR,5,Udhampur,0001,Udhampur,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400026,0034,JAMMU AND KASHMIR,5,Udhampur,0001,Udhampur,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400027,0034,JAMMU AND KASHMIR,5,Udhampur,0002,Samba,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400028,0034,JAMMU AND KASHMIR,5,Udhampur,0002,Samba,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3400029,0034,JAMMU AND KASHMIR,5,Udhampur,0002,Samba,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500000,0035,HIMACHAL PRADESH,1,Kangra,0001,Kangra,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500001,0035,HIMACHAL PRADESH,1,Kangra,0001,Kangra,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500002,0035,HIMACHAL PRADESH,1,Kangra,0001,Kangra,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500003,0035,HIMACHAL PRADESH,1,Kangra,0002,Baijnath,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500004,0035,HIMACHAL PRADESH,1,Kangra,0002,Baijnath,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500005,0035,HIMACHAL PRADESH,1,Kangra,0002,Baijnath,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500006,0035,HIMACHAL PRADESH,1,Kangra,0003,Dehra,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500007,0035,HIMACHAL PRADESH,1,Kangra,0003,Dehra,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500008,0035,HIMACHAL PRADESH,1,Kangra,0003,Dehra,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500009,0035,HIMACHAL PRADESH,2,Mandi,0001,Mandi,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500010,0035,HIMACHAL PRADESH,2,Mandi,0001,Mandi,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500011,0035,HIMACHAL PRADESH,2,Mandi,0001,Mandi,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500012,0035,HIMACHAL PRADESH,2,Mandi,0002,Karsog,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500013,0035,HIMACHAL PRADESH,2,Mandi,0002,Karsog,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500014,0035,HIMACHAL PRADESH,2,Mandi,0002,Karsog,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500015,0035,HIMACHAL PRADESH,3,Shimla,0001,Shimla,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500016,0035,HIMACHAL PRADESH,3,Shimla,0001,Shimla,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500017,0035,HIMACHAL PRADESH,3,Shimla,0001,Shimla,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500018,0035,HIMACHAL PRADESH,3,Shimla,0002,Kinnaur,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500019,0035,HIMACHAL PRADESH,3,Shimla,0002,Kinnaur,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500020,0035,HIMACHAL PRADESH,3,Shimla,0002,Kinnaur,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500021,0035,HIMACHAL PRADESH,3,Shimla,0003,Rampur,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500022,0035,HIMACHAL PRADESH,3,Shimla,0003,Rampur,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500023,0035,HIMACHAL PRADESH,3,Shimla,0003,Rampur,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500024,0035,HIMACHAL PRADESH,4,Solan,0001,Solan,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500025,0035,HIMACHAL PRADESH,4,Solan,0001,Solan,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500026,0035,HIMACHAL PRADESH,4,Solan,0001,Solan,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500027,0035,HIMACHAL PRADESH,4,Solan,0002,Paonta Sahib,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500028,0035,HIMACHAL PRADESH,4,Solan,0002,Paonta Sahib,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500029,0035,HIMACHAL PRADESH,4,Solan,0002,Paonta Sahib,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500030,0035,HIMACHAL PRADESH,5,Bilaspur,0001,Bilaspur,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500031,0035,HIMACHAL PRADESH,5,Bilaspur,0001,Bilaspur,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500032,0035,HIMACHAL PRADESH,5,Bilaspur,0001,Bilaspur,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500033,0035,HIMACHAL PRADESH,5,Bilaspur,0002,Jangla,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500034,0035,HIMACHAL PRADESH,5,Bilaspur,0002,Jangla,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3500035,0035,HIMACHAL PRADESH,5,Bilaspur,0002,Jangla,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600000,0036,UTTARAKHAND,1,Almora,0001,Almora,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600001,0036,UTTARAKHAND,1,Almora,0001,Almora,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600002,0036,UTTARAKHAND,1,Almora,0001,Almora,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600003,0036,UTTARAKHAND,1,Almora,0002,Bageshwar,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600004,0036,UTTARAKHAND,1,Almora,0002,Bageshwar,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600005,0036,UTTARAKHAND,1,Almora,0002,Bageshwar,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600006,0036,UTTARAKHAND,2,Chamoli,0001,Ghat,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600007,0036,UTTARAKHAND,2,Chamoli,0001,Ghat,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600008,0036,UTTARAKHAND,2,Chamoli,0001,Ghat,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600009,0036,UTTARAKHAND,2,Chamoli,0002,Joshimath,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600010,0036,UTTARAKHAND,2,Chamoli,0002,Joshimath,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600011,0036,UTTARAKHAND,2,Chamoli,0002,Joshimath,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600012,0036,UTTARAKHAND,3,Dehradun,0001,Dehradun,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600013,0036,UTTARAKHAND,3,Dehradun,0001,Dehradun,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600014,0036,UTTARAKHAND,3,Dehradun,0001,Dehradun,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600015,0036,UTTARAKHAND,3,Dehradun,0002,Vikasnagar,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600016,0036,UTTARAKHAND,3,Dehradun,0002,Vikasnagar,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600017,0036,UTTARAKHAND,3,Dehradun,0002,Vikasnagar,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600018,0036,UTTARAKHAND,4,Haridwar,0001,Haridwar,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600019,0036,UTTARAKHAND,4,Haridwar,0001,Haridwar,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600020,0036,UTTARAKHAND,4,Haridwar,0001,Haridwar,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600021,0036,UTTARAKHAND,4,Haridwar,0002,Bijnor,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600022,0036,UTTARAKHAND,4,Haridwar,0002,Bijnor,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600023,0036,UTTARAKHAND,4,Haridwar,0002,Bijnor,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600024,0036,UTTARAKHAND,5,Nainital,0001,Nainital,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600025,0036,UTTARAKHAND,5,Nainital,0001,Nainital,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600026,0036,UTTARAKHAND,5,Nainital,0001,Nainital,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600027,0036,UTTARAKHAND,5,Nainital,0002,Udham Singh Nagar,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600028,0036,UTTARAKHAND,5,Nainital,0002,Udham Singh Nagar,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
3600029,0036,UTTARAKHAND,5,Nainital,0002,Udham Singh Nagar,India,Active,2026-03-03 07:10:56,2026-03-03 07:10:56
